 1.000  0.42330 5631.  4.528  -0.14   5.12   4.71   4.37   3.90   3.60   3.57   3.58   3.66
 1.000  0.45499 5632.  4.528  -0.14   5.12   4.71   4.37   3.90   3.60   3.57   3.58   3.66
 1.000  0.48668 5634.  4.527  -0.14   5.12   4.70   4.37   3.90   3.60   3.56   3.57   3.66
 1.000  0.51836 5634.  4.526  -0.14   5.12   4.70   4.36   3.90   3.60   3.56   3.57   3.65
 1.000  0.58174 5636.  4.525  -0.14   5.11   4.70   4.36   3.89   3.59   3.56   3.57   3.65
 1.000  0.64511 5639.  4.524  -0.14   5.11   4.69   4.36   3.89   3.59   3.56   3.57   3.65
 1.000  0.70849 5640.  4.523  -0.13   5.10   4.69   4.35   3.89   3.59   3.55   3.56   3.64
 1.000  0.80356 5644.  4.521  -0.13   5.09   4.68   4.35   3.88   3.58   3.55   3.56   3.64
 1.000  0.89862 5647.  4.520  -0.13   5.09   4.68   4.34   3.87   3.58   3.54   3.55   3.63
 1.000  1.02537 5652.  4.517  -0.12   5.08   4.67   4.33   3.87   3.57   3.54   3.55   3.63
 1.000  1.15212 5657.  4.515  -0.12   5.07   4.66   4.32   3.86   3.56   3.53   3.54   3.62
 1.000  1.27888 5661.  4.513  -0.12   5.06   4.65   4.31   3.85   3.56   3.52   3.53   3.61
 1.000  1.43732 5668.  4.510  -0.11   5.04   4.64   4.30   3.84   3.55   3.51   3.52   3.60
 1.000  1.59576 5674.  4.507  -0.11   5.03   4.62   4.29   3.83   3.54   3.51   3.52   3.60
 1.000  1.78589 5681.  4.504  -0.10   5.02   4.61   4.28   3.82   3.53   3.49   3.51   3.58
 1.000  2.00770 5690.  4.500  -0.09   5.00   4.59   4.26   3.81   3.52   3.48   3.49   3.57
 1.000  2.26121 5700.  4.495  -0.09   4.98   4.57   4.24   3.79   3.50   3.47   3.48   3.56
 1.000  2.51471 5711.  4.490  -0.08   4.95   4.55   4.22   3.77   3.49   3.45   3.47   3.54
 1.000  2.83159 5724.  4.484  -0.07   4.93   4.53   4.20   3.75   3.47   3.43   3.45   3.52
 1.000  3.18016 5739.  4.476  -0.06   4.89   4.50   4.17   3.73   3.45   3.41   3.43   3.50
 1.000  3.56042 5754.  4.468  -0.04   4.86   4.47   4.14   3.70   3.42   3.39   3.40   3.47
 1.000  4.00405 5773.  4.457  -0.03   4.81   4.42   4.10   3.67   3.39   3.36   3.37   3.44
 1.000  4.47937 5792.  4.444  -0.01   4.77   4.38   4.06   3.63   3.35   3.32   3.33   3.41
 1.000  5.01807 5814.  4.429   0.01   4.71   4.32   4.01   3.58   3.31   3.28   3.29   3.36
 1.000  5.65183 5840.  4.408   0.04   4.63   4.25   3.94   3.52   3.25   3.22   3.23   3.30
 1.000  6.31728 5864.  4.383   0.07   4.55   4.17   3.86   3.45   3.18   3.15   3.17   3.23
 1.000  7.10948 5878.  4.349   0.11   4.45   4.08   3.77   3.36   3.09   3.06   3.08   3.15
 1.000  7.96506 5868.  4.306   0.15   4.35   3.98   3.67   3.25   2.99   2.96   2.97   3.04
